index,word,품사,n
414,경기,Noun,995
3231,박지성,Noun,806
4145,선수,Noun,659
142,감독,Noun,393
4498,시즌,Noun,366
2507,리그,Noun,356
5965,이었다,Verb,304
7223,축구,Noun,301
5711,월드컵,Noun,274
4081,생각,Noun,272
1765,대표팀,Noun,242
5369,였다,Verb,228
7239,출전,Noun,224
7808,하고,Verb,223
7896,한국,Noun,218
6187,있었다,Adjective,214
2844,맨체스터,Noun,177
2843,맨유,Noun,176
2289,때문,Noun,170
5752,유나이티드,Noun,157
1682,당시,Noun,148
7880,하지만,Conjunction,147
5758,유럽,Noun,147
7858,하며,Verb,142
5635,우승,Noun,140
7105,챔피언스리그,Noun,140
4494,시작,Noun,132
7629,퍼거슨,#N/A,132
6511,정도,Noun,131
4135,선발,Noun,122
6005,이후,Noun,120
8312,히딩크,Noun,118
3672,부상,Noun,115
6913,진출,Noun,110
4935,않았다,Verb,110
4045,상대,Noun,109
7877,하지,Verb,108
239,같은,Adjective,102
7122,처음,Noun,99
825,기록,Noun,98
8055,했지만,Verb,95
2573,마지막,Noun,94
3708,부터,Noun,94
5345,열린,Verb,93
1958,됐다,Verb,91
80,가장,Noun,89
416,경기장,Noun,87
5742,위해,Noun,87
4098,생활,Noun,87
5248,에인트호번,Noun,87
8242,훈련,Noun,86
4328,수비,Noun,86
2716,많은,Adjective,85
4067,상황,Noun,85
522,공격,Noun,84
1581,다시,Noun,84
2934,모두,Noun,84
869,기회,Noun,84
5625,우리,Noun,84
5209,없었다,Adjective,83
6065,일본,Noun,83
4472,시간,Noun,83
2549,마음,Noun,82
8038,했던,Verb,82
596,교토,Noun,82
6251,자신,Noun,81
3982,사실,Noun,81
5533,올림픽,Noun,80
7759,프리미어리그,Noun,80
4462,승리,Noun,80
432,경험,Noun,79
1061,나를,Verb,79
4218,세계,Noun,78
6698,주장,#N/A,78
5805,은퇴,Noun,77
3022,무릎,Noun,76
393,결국,Adverb,76
3963,사람,Noun,76
7932,함께,Adverb,75
3515,보다,Verb,75
726,그렇게,Adverb,75
1776,대회,Noun,74
5982,이적,Noun,73
1361,네덜란드,Noun,73
1567,다른,Noun,72
7187,최고,Noun,72
8231,후반,Noun,72
1771,대한,Noun,71
4952,않은,Verb,71
6446,전반,Noun,69
7751,프로,Noun,69
6083,일이,Modifier,68
4391,슈팅,Noun,67
5866,이나,Noun,66
7860,하면서,Verb,66
595,교체,Noun,66
7859,하면,Verb,65
397,결승전,Noun,64
7827,하나,Noun,63
719,그런,Adjective,63
8201,활약,Noun,62
2935,모든,Noun,62
3108,미드필더,Noun,61
4334,수술,Noun,60
5600,왼쪽,Noun,60
3087,물론,Adverb,60
5700,원정,Noun,59
1355,넣은,Verb,59
3065,문제,Noun,58
4822,아시안컵,Noun,58
3012,무대,Noun,58
5941,이야기,Noun,58
5193,없는,Adjective,57
5220,없이,Adverb,56
5447,오른쪽,Noun,56
4496,시절,Noun,55
7119,처럼,Noun,55
1942,동안,Noun,55
4819,아시아,Noun,55
5913,이름,Noun,54
2720,많이,Adverb,54
5302,역할,Noun,54
8021,했고,Verb,54
2954,모습,Noun,53
436,계속,Noun,53
6652,좋은,Adjective,53
6704,주전,Noun,53
7157,첼시,#N/A,53
3154,밀란,Noun,52
403,결정,Noun,52
7626,패스,Noun,52
391,결과,Noun,52
684,그때,Noun,52
6233,자리,Noun,51
6169,있던,Adjective,50
4166,선택,Noun,50
7761,플레이,Noun,50
7429,클럽,Noun,49
7813,하기,Verb,49
8131,호날두,Noun,48
5298,역시,Noun,48
7709,포함,Noun,48
3583,복귀,Noun,45
7979,해서,Verb,45
6252,자신감,Noun,44
6787,지금,Noun,44
4321,수도,Noun,43
4211,성적,Noun,43
5371,였던,Verb,42
4817,아스널,#N/A,42
5195,없다,Adjective,42
6740,중앙,Noun,42
7986,해야,Verb,42
6615,종료,Noun,41
1855,도움,Noun,41
7745,프랑스,Noun,41
4903,않고,Verb,41
523,공격수,Noun,41
468,고민,Noun,41
5068,어떤,Adjective,41
7580,특히,Adverb,41
5979,이유,Noun,41
4362,순간,Noun,41
5880,이란,Noun,41
5397,예선,Noun,41
2532,마다,Noun,40
7705,포지션,Noun,40
562,관심,Noun,40
5927,이상,Noun,40
2482,로서,Noun,40
6749,중요한,Adjective,40
5970,이었던,Verb,39
6801,지난,Noun,39
423,경쟁,Noun,39
1587,다음,Noun,39
258,개인,Noun,39
6118,입단,Noun,38
437,계약,Noun,38
6199,있을,Adjective,38
3211,바르셀로나,#N/A,38
5942,이어,Verb,38
1829,데뷔,Noun,38
7702,포르투갈,Noun,38
7535,통해,Noun,38
4064,상태,Noun,38
1986,되는,Verb,38
506,골은,Verb,37
227,같다,Adjective,37
2493,루니,#N/A,37
3210,바로,Noun,37
2740,말았다,Verb,37
1858,도전,Noun,37
3514,보니,Verb,37
7205,최종,Noun,37
4769,아니었다,Adjective,36
6710,준비,Noun,36
2375,뛰면서,Verb,36
4634,싶었다,Verb,36
2546,마무리,Noun,36
5071,어떻게,Adjective,36
3636,부담,Noun,35
1191,남아공,Noun,35
7962,해도,Noun,35
3526,보면,Verb,35
5031,야유,Noun,35
1773,대해,Noun,35
4551,실력,Noun,34
6025,인생,Noun,34
7839,하다,Verb,34
6206,잉글랜드,Noun,34
824,기량,Noun,34
4804,아쉬움,Noun,34
7299,치른,Verb,34
1352,넣으며,Verb,34
4996,앞두고,Verb,34
704,그러나,Conjunction,33
7737,풀타임,Noun,33
502,골로,Noun,33
6897,직접,Noun,33
7845,하던,Verb,33
4407,스스로,Noun,33
689,그래서,Adverb,33
2366,뛰는,Verb,33
3604,본선,Noun,33
2689,만큼,Noun,32
4776,아닌,Adjective,32
850,기억,Noun,32
2029,되지,Verb,32
7012,차전,#N/A,31
6035,인지,Noun,31
395,결승,#N/A,31
4046,상대로,Noun,31
2834,매치,Noun,31
513,골키퍼,#N/A,31
1764,대표,Noun,31
2360,뛰고,Verb,30
4331,수비수,Noun,30
7175,초반,Noun,30
