index,word,품사,,
0,﻿,Foreign,,
1,처음,Noun,,
2,책,Noun,,
3,을,Josa,,
4,제안,Noun,,
5,받았던,Verb,,
6,2010년,Number,,
7,여름,Noun,,
8,,,Punctuation,
9,제,Noun,,
10,이야기,Noun,,
11,가,Verb,,
12,궁금하다는,Adjective,,
13,출판사,Noun,,
14,의,Noun,,
15,요청,Noun,,
16,에,Josa,,
17,마음,Noun,,
18,이,Noun,,
19,뛰었습니다,Verb,,
20,.,Punctuation,,
21,구체화,Noun,,
22,된,Verb,,
23,것,Noun,,
24,도,Noun,,
25,없고,Adjective,,
27,하고,Verb,Punctuation,
28,싶은,Verb,,
31,떠오르진,Verb,,
32,않았지만,Verb,,
33,고국,Noun,,
35,팬,Noun,,
36,들,Verb,,
37,과,Noun,,
38,더,Noun,,
39,가까워지고,Verb,,
40,싶던,Verb,,
44,현실,Noun,,
46,되는,Verb,,
48,같았습니다,Adjective,,
50,그러나,Conjunction,,
51,저,Noun,,
52,를,Noun,,
53,가장,Noun,,
54,잘,Verb,,
55,알,Noun,,
56,고,Noun,,
59,인생,Noun,,
62,큰,Verb,,
63,조언,Noun,,
64,자,Noun,,
65,인,Noun,,
66,부모님,Noun,,
68,아내,Noun,,
69,는,Verb,,
70,단번,Noun,,
72,만류,Noun,,
73,했습니다,Verb,Punctuation,
75,‘,Foreign,,
76,아직,Adverb,,
77,은,Noun,,
78,때,Noun,,
80,아니다,Adjective,,
81,’,Punctuation,,
82,라는,Josa,,
83,이유,Noun,,
87,설득,Noun,,
88,하기,Verb,,
90,중,Noun,,
91,분했고,Adjective,,
93,이내,Noun,,
96,접,Noun,,
98,수,Noun,,
99,있었습니다,Adjective,,
101,해결,Noun,,
102,되지,Verb,,
103,못,Noun,,
104,했던,Verb,,
105,문제,Noun,,
107,있었고,Adjective,,
108,두,Noun,,
109,해,Noun,,
110,동안,Noun,,
111,풀,Noun,,
112,타임,Noun,,
113,메이저리거,Noun,,
114,로,Noun,,
115,활동,Noun,,
117,있지만,Adjective,,
118,아직도,Adverb,,
119,갈,Verb,,
120,길이,Noun,,
121,먼,Adjective,Punctuation,
124,사람,Noun,,
126,에게,Josa,,
127,메시지,Noun,,
129,던질,Verb,,
