index,word,품사,n
3851,야구,Noun,235
3154,선수,Noun,198
3099,생각,Noun,168
1927,마음,Noun,159
5957,하고,Verb,157
4535,이었다,Verb,140
130,감독,Noun,129
4614,일본,Noun,129
6285,홈런,Noun,118
2989,사람,Noun,95
4723,있었다,Adjective,92
322,경기,Noun,92
3673,아버지,Noun,83
5002,정말,Noun,81
847,나를,Verb,78
4005,없었다,Adjective,78
3150,선배,Noun,76
3054,삼성,Noun,75
4113,였다,Verb,75
6024,하지,Verb,75
6040,한국,Noun,71
6026,하지만,Conjunction,71
5649,코치,Noun,71
2218,모습,Noun,70
1066,노력,Noun,69
3622,아내,Noun,68
2827,부터,Noun,68
5999,하면,Verb,68
5701,타자,Noun,67
5122,좋은,Adjective,67
3690,아이,Noun,63
464,구단,Noun,62
2667,보다,Verb,61
6342,훈련,Noun,61
3394,시간,Noun,60
3992,없다,Adjective,59
2049,많이,Adverb,59
5258,지금,Noun,58
6130,해야,Verb,58
973,내게,Verb,57
2025,만큼,Noun,56
5912,프로,Noun,55
4380,위해,Noun,54
1755,때문,Noun,53
1210,다시,Noun,52
2047,많은,Adjective,51
75,가장,Noun,50
1308,당시,Noun,50
3419,시작,Noun,50
5972,하나,Noun,50
4406,은퇴,Noun,50
4518,이승엽,Noun,48
5535,최고,Noun,48
1575,된다,Verb,48
3779,않았다,Verb,48
3209,성적,Noun,47
5605,친구,Noun,46
4521,이야기,Noun,46
4098,열심히,Adverb,46
2269,무대,Noun,46
694,기회,Noun,45
561,그런,Adjective,45
4637,일이,Modifier,45
3000,사실,Noun,44
5776,투수,Noun,44
3422,시즌,Noun,43
531,그때,Noun,43
5683,타격,Noun,42
4295,우리,Noun,42
3082,상황,Noun,41
4554,이제,Noun,41
6078,함께,Adverb,41
5481,처럼,Noun,40
898,나이,Noun,40
562,그런데,Conjunction,40
3117,생활,Noun,40
4277,요미우리,#N/A,39
1201,다른,Noun,38
6096,해도,Noun,37
3742,안타,Noun,37
3420,시절,Noun,37
655,기도,Noun,36
5914,프로야구,Noun,36
201,같다,Adjective,36
1367,대표팀,Noun,36
2063,말씀,Noun,36
4781,자신,Noun,35
2202,모든,Noun,35
3632,아니다,Adjective,35
3066,상대,Noun,35
3325,순간,Noun,34
842,나도,Verb,34
5948,하게,Verb,34
4079,연습,Noun,33
1905,마다,Noun,33
5000,정도,Noun,33
3541,싶었다,Verb,33
209,같은,Adjective,32
1889,로서,Noun,32
4222,올림픽,Noun,32
6339,후배,Noun,32
672,기억,Noun,32
5355,진출,Noun,32
6193,했던,Verb,32
5998,하며,Verb,31
1695,들었다,Verb,30
5023,제대로,Noun,30
570,그렇게,Adverb,30
2666,보니,Verb,30
4015,없이,Adverb,30
3167,선택,Noun,30
3547,싶은,Verb,29
5482,처음,Noun,29
3294,수도,Noun,29
4581,인생,Noun,29
6050,한마디,Noun,29
1942,마지막,Noun,28
3524,싶다,Verb,28
1031,너무,Adverb,28
2482,받았다,Verb,28
1519,됐다,Verb,28
4155,오늘,Noun,28
6045,한다는,Modifier,27
1564,되었다,Verb,27
4705,있다는,Adjective,27
306,결과,Noun,27
3854,야구선수,Noun,27
6120,해서,Verb,26
3910,어머니,Noun,26
1375,대한,Noun,26
3856,야구장,Noun,26
1532,되고,Verb,26
342,계속,Noun,26
2728,복귀,Noun,26
4795,자이언츠,Noun,26
1870,라이온즈,Noun,26
3990,없는,Adjective,26
6005,하셨다,Verb,25
535,그래서,Adverb,25
5767,통해,Noun,25
5047,조금,Noun,25
6283,혼자,Noun,24
4506,이상,Noun,24
84,가족,Noun,24
2183,메이저리그,Noun,24
4306,우즈,Noun,24
3471,실력,Noun,23
6179,했고,Verb,23
2317,물론,Adverb,23
1537,되는,Verb,23
5184,준비,Noun,23
4385,유니폼,Noun,23
85,가지,Noun,23
3863,약속,Noun,23
4547,이유,Noun,22
2674,보면,Verb,22
1439,도움,Noun,22
2795,부상,Noun,22
5693,타석,Noun,22
4472,이런,Adjective,22
1867,라운드,Noun,22
2201,모두,Noun,22
336,경험,Noun,22
2039,많았다,Adjective,22
3319,숙소,Noun,22
3356,스스로,Noun,21
4310,운동,Noun,21
4299,우승,Noun,21
6206,했지만,Verb,21
1890,롯데,Noun,21
5890,표현,Noun,21
2559,배트,Noun,21
5544,최선,Noun,21
3905,어린,Verb,21
5694,타수,Noun,21
4564,이후,Noun,21
4735,있을,Adjective,21
3645,아니었다,Adjective,21
5703,타점,Noun,21
3080,상태,Noun,21
3757,않고,Verb,20
2789,부모님,Noun,20
4971,절대,Noun,20
6029,학교,Noun,20
1214,다음,Noun,20
4453,이나,Noun,20
3886,어떻게,Adjective,20
1569,되지,Verb,20
3659,아들,Noun,20
6000,하면서,Verb,20
1126,눈물,Noun,19
314,결정,Noun,19
4782,자신감,Noun,19
5986,하다,Verb,19
6207,행동,Noun,19
4063,역시,Noun,19
3634,아니라,Adjective,19
4669,입단,Noun,19
2161,먼저,Noun,19
5696,타율,Noun,19
1341,대로,Noun,18
658,기록,Noun,18
5285,지도자,Noun,18
5959,하기,Verb,18
1419,데뷔,Noun,18
5641,컸다,Verb,18
2528,방망이,Noun,18
663,기분,Noun,18
4708,있도록,Adjective,18
206,같았다,Adjective,18
390,고집,Noun,18
3384,승관,Noun,18
2460,받고,Verb,18
3675,아빠,Noun,18
1506,동안,Noun,18
4769,자리,Noun,18
534,그래도,Adverb,18
5656,크게,Noun,18
3652,아닌,Adjective,17
331,경우,Noun,17
2283,무엇,Noun,17
5615,칭찬,Noun,17
5290,지바,#N/A,17
343,계약,Noun,17
3388,승부,Noun,17
2133,머리,Noun,17
4039,여러,Noun,17
5801,특히,Adverb,17
6043,한다고,Verb,17
4142,예전,Noun,17
3678,아쉬움,Noun,17
4589,인지,Noun,17
412,공부,Noun,17
6251,현역,Noun,16
3884,어떤,Adjective,16
3288,수가,Noun,16
6341,후회,Noun,16
2649,보고,Noun,16
307,결국,Adverb,16
5991,하라,Noun,16
3764,않는다,Verb,16
525,그날,Noun,16
3795,않은,Verb,16
5044,조건,Noun,16
485,국민,Noun,16
4077,연속,Noun,16
5259,지금껏,Noun,16
4474,이렇게,Adverb,16
1392,덕분,Noun,16
1387,더욱,Noun,16
1114,누구,Noun,16
4174,오릭스,#N/A,16
3877,어느,Adverb,16
4576,인사,Noun,16
3797,않을,Verb,16
6402,힘든,Adjective,15
891,나와,Verb,15
608,그저,Adverb,15
588,그리고,Conjunction,15
3671,아무리,Adverb,15
1338,대답,Noun,15
1899,리그,Noun,15
4799,자주,Noun,15
5009,정신,Noun,15
3945,언젠가,Adverb,15
4408,은혁,Noun,15
2417,바로,Noun,15
369,고민,Noun,15
5751,텐데,Eomi,15
6286,홈런왕,Noun,15
4443,이기,Noun,15
1724,따라,Verb,15
3407,시리즈,Noun,15
1377,대해,Noun,15
2839,분위기,Noun,15
4465,이라,Verb,15
2211,모른다,Verb,15
696,긴장,Noun,15
3344,쉽지,Verb,14
1825,뛰면서,Verb,14
1115,누군가,Noun,14
4997,정규,Noun,14
5566,출신,Noun,14
3964,얼마나,Noun,14
1558,되어,Verb,14
2623,베이징,Noun,14
348,고개,Noun,14
1379,대회,Noun,14
2644,병원,Noun,14
5821,판단,Noun,14
6203,했을,Verb,14
2764,부담,Noun,14
327,경북,Noun,14
3441,신경,Noun,14
6046,한다면,Verb,14
3386,승리,Noun,13
2329,미국,Noun,13
3301,수비,Noun,13
477,구장,#N/A,13
316,결혼,Noun,13
4420,의미,Noun,13
6030,학년,Noun,13
5125,좋지,Adjective,13
707,김성근,Noun,13
5225,중학교,Noun,13
5117,좋았다,Adjective,13
4490,이름,Noun,13
4707,있던,Adjective,13
4704,있다고,Adjective,13
2817,부진,Noun,13
1366,대표,Noun,13
2031,많다,Adjective,13
2635,변화,Noun,13
5430,참가,Noun,13
89,가치,Noun,13
1014,내일,Noun,13
5979,하는데,Verb,13
250,걱정,Noun,13
2563,백인천,Noun,13
425,과정,Noun,13
522,그것,Noun,13
3888,어려운,Adjective,13
2236,목표,Noun,13
5996,하루,Noun,13
4706,있다면,Adjective,13
3520,십대,Noun,13
2495,받은,Verb,12
354,고등학교,Noun,12
3147,선물,Noun,12
1032,너무나,Adverb,12
5763,통증,#N/A,12
4076,연봉,Noun,12
2510,발전,Noun,12
5788,트레이닝,Noun,12
429,관계자,Noun,12
5874,평소,Noun,12
433,관심,Noun,12
2412,바람,Noun,12
5984,하니,Noun,12
666,기쁨,Noun,12
3357,스승,#N/A,12
2675,보면서,Verb,12
4677,입장,Noun,12
3004,사이,Noun,12
