index,word,품사,n
3267,선수,Noun,469
3200,생각,Noun,462
3095,사람,Noun,334
5989,하고,Verb,304
656,그런,Adjective,250
3950,야구,Noun,245
6082,한국,Noun,220
1864,때문,Noun,210
411,경기,Noun,178
2253,메이저리그,Noun,147
939,나를,Verb,141
6069,하지만,Conjunction,141
4687,이었다,Verb,139
4895,있었다,Adjective,135
663,그렇게,Adverb,130
6004,하나,Noun,120
2025,마음,Noun,117
2133,많이,Adverb,110
1299,다른,Noun,106
5380,지금,Noun,103
1310,다시,Noun,101
6066,하지,Verb,101
6191,해야,Verb,101
2129,많은,Adjective,99
3995,어떤,Adjective,98
5276,좋은,Adjective,96
6049,하면,Verb,96
679,그리고,Conjunction,95
2417,미국,Noun,94
4516,위해,Noun,92
613,그것,Noun,90
2751,보다,Verb,89
1684,되었다,Verb,89
1699,된다,Verb,89
1993,리그,Noun,84
1319,다저스,Noun,83
4980,자신,Noun,82
1141,노력,Noun,82
658,그런데,Conjunction,78
4427,우리,Noun,78
2368,무엇,Noun,77
2506,바로,Noun,76
1466,대한,Noun,75
4237,였다,Verb,73
4002,어떻게,Adjective,72
3173,상대,Noun,72
4127,없었다,Adjective,71
4786,일본,Noun,71
625,그래서,Adverb,70
429,계속,Noun,70
4666,이야기,Noun,69
2031,마이너,Noun,68
3473,스스로,Noun,67
226,같은,Adjective,67
6262,했던,Verb,66
3525,시간,Noun,64
5981,하게,Verb,63
2299,모습,Noun,61
5784,타자,Noun,61
3742,아니다,Adjective,61
5601,처럼,Noun,60
6050,하면서,Verb,59
3882,않았다,Verb,59
1468,대해,Noun,58
4099,없다,Adjective,57
4619,이런,Adjective,57
136,감독,Noun,56
4553,의미,Noun,56
614,그게,Noun,56
1650,되는,Verb,56
3746,아니라,Adjective,55
2279,모든,Noun,55
5829,투수,Noun,55
218,같다,Adjective,55
4876,있다는,Adjective,54
424,경험,Noun,54
795,기회,Noun,54
1411,당시,Noun,54
4809,일이,Modifier,54
6182,해서,Verb,54
2521,박찬호,Noun,54
81,가지,Noun,53
648,그러면,Adverb,52
4621,이렇게,Adverb,52
639,그러나,Conjunction,52
3229,생활,Noun,52
1147,노모,Noun,52
2905,부터,Noun,52
3538,시작,Noun,51
622,그때,Noun,51
3186,상황,Noun,50
6141,항상,Noun,50
1569,도전,Noun,49
3102,사실,Noun,49
3542,시즌,Noun,48
1198,누구,Noun,48
3540,시절,Noun,48
4711,이제,Noun,47
4914,있을,Adjective,45
4605,이나,Noun,45
5156,정말,Noun,44
4311,오히려,Noun,44
3654,싶었다,Verb,44
3189,새로운,Adjective,44
5603,처음,Noun,44
5333,준비,Noun,43
3339,성적,Noun,43
2323,목표,Noun,43
6155,해도,Noun,42
556,구단,Noun,41
6087,한다는,Modifier,41
4281,오늘,Noun,41
2724,보고,Noun,41
6394,훈련,Noun,41
3865,않는다,Verb,41
5992,하기,Verb,40
509,과정,Noun,40
3435,순간,Noun,40
5738,코치,Noun,40
399,결국,Adverb,40
66,가장,Noun,40
2712,변화,Noun,39
2038,마지막,Noun,38
3755,아니었다,Adjective,38
4097,없는,Adjective,37
3952,야구선수,Noun,37
1673,되어,Verb,37
6368,환경,Noun,37
4767,인지,Noun,36
932,나라,Noun,36
756,기도,Noun,36
1102,너무,Adverb,36
5503,집중,Noun,36
3412,수도,Noun,35
204,갖고,Verb,35
4754,인생,Noun,35
6131,함께,Adverb,34
4249,영어,Noun,34
4253,영웅,Noun,34
778,기억,Noun,34
1317,다음,Noun,34
1626,동료,Noun,34
3896,않은,Verb,33
5959,피츠버그,Noun,33
1711,두려움,Noun,33
5647,최고,Noun,33
2456,믿음,Noun,33
4945,자기,Noun,33
1630,동안,Noun,33
4704,이유,Noun,33
503,과거,Noun,32
2602,방법,Noun,32
2278,모두,Noun,32
4591,이기,Noun,32
1803,들었다,Verb,32
2416,뭔가,Noun,32
2237,먼저,Noun,31
4195,연습,Noun,31
931,나도,Verb,31
3532,시련,Noun,31
4592,이기는,Verb,31
456,고민,Noun,31
3979,어느,Adverb,31
