index,word,Word Type,Frequency
378,경기,Noun,351
5077,우리,Noun,271
6612,축구,Noun,230
5348,이었다,Verb,193
4371,아버지,Noun,177
4090,시즌,Noun,157
7644,훈련,Noun,152
3679,생각,Noun,151
3759,선수,Noun,145
5538,있었다,Adjective,136
7196,하고,Verb,114
3320,부터,Noun,113
4086,시작,Noun,110
132,감독,Noun,107
4060,시간,Noun,106
6630,출전,Noun,105
7299,한국,Noun,100
5848,정말,Noun,99
4847,였다,Verb,98
5170,월드컵,Noun,98
559,구단,Noun,97
4722,없었다,Adjective,96
999,나를,Verb,93
1686,독일,Noun,90
6904,토트넘,Noun,90
2061,때문,Noun,85
6507,처음,Noun,83
1820,되었다,Verb,81
1194,너무,Adverb,78
7346,함께,Adverb,78
4484,않았다,Verb,77
2291,마음,Noun,77
5196,유럽,Noun,75
7348,함부르크,Noun,74
6175,지금,Noun,73
1766,동료,Noun,71
3635,상대,Noun,70
2198,런던,Noun,70
7439,했던,Verb,69
2248,리그,Noun,69
3150,보다,Verb,68
6491,챔피언스리그,Noun,68
7140,프리미어리그,Noun,68
655,그런,Adjective,67
7278,하지,Verb,67
3567,사실,Noun,64
807,기회,Noun,62
1133,내게,Verb,60
7396,해야,Verb,60
4707,없다,Adjective,59
2591,모든,Noun,59
5846,정도,Noun,58
7388,해서,Verb,56
380,경기장,Noun,56
5364,이적,Noun,55
2177,라운드,Noun,55
6504,처럼,Noun,55
7246,하면,Verb,55
2208,레버쿠젠,#N/A,54
663,그렇게,Adverb,54
3658,상황,Noun,54
2590,모두,Noun,54
1603,대회,Noun,52
5288,이런,Adjective,52
7377,해도,Noun,51
993,나도,Verb,50
6089,준비,Noun,50
636,그때,Noun,49
5890,제일,Noun,49
777,기분,Noun,48
7135,프로,Noun,48
86,가족,Noun,47
4386,아시안컵,Noun,46
3751,선발,Noun,46
2273,마다,Noun,45
1775,동안,Noun,45
7632,후반,Noun,44
586,국가대표팀,Noun,44
2374,만큼,Noun,43
1595,대표팀,Noun,42
356,결과,Noun,42
1417,다음,Noun,42
7247,하면서,Verb,42
6697,친구,Noun,41
5190,위해,Noun,40
1799,되는,Verb,40
3328,분데스리가,Noun,40
6808,클럽,Noun,40
3955,순간,Noun,40
3817,세상,Noun,39
3546,사람,Noun,39
1914,득점,Noun,39
5271,이나,Noun,39
5157,원정,Noun,38
765,기록,Noun,38
1413,다시,Noun,38
1619,덕분,Noun,38
4221,싶었다,Verb,38
3912,수가,Noun,36
399,계속,Noun,36
4704,없는,Adjective,36
2300,마지막,Noun,36
3951,숙소,Noun,35
4736,없이,Adverb,35
200,같다,Adjective,35
1405,다른,Noun,34
2479,매일,Noun,34
1810,되어,Verb,34
7308,한다는,Modifier,34
365,결승전,Noun,33
5463,일이,Modifier,33
6582,최고,Noun,33
6140,줬다,Verb,33
332,게임,Noun,33
2390,많은,Adjective,33
160,갑자기,Noun,32
3655,상태,Noun,32
4393,아이,Noun,32
2861,바로,Noun,32
5987,좋은,Adjective,32
5290,이렇게,Adverb,32
5467,일정,Noun,31
7017,패스,Noun,30
358,결국,Adverb,30
554,교체,Noun,30
211,같은,Adjective,30
7207,하나,Noun,30
5358,이유,Noun,29
6614,축구선수,Noun,29
1255,노력,Noun,29
3401,브라질,Noun,29
5592,자리,Noun,29
5522,있다는,Adjective,28
2929,받았다,Verb,28
253,거의,Noun,28
937,끝나고,Verb,28
400,계약,Noun,27
7363,항상,Noun,27
4050,승리,Noun,26
3573,사이,Noun,26
5907,조금,Noun,26
673,그리고,Conjunction,26
393,경험,Noun,26
5319,이번,Noun,26
7562,혼자,Noun,26
4465,않고,Verb,26
3164,보면서,Verb,26
2123,뛰는,Verb,26
3712,생활,Noun,26
1841,된다,Verb,26
2681,무대,Noun,26
5946,종료,Noun,26
1331,눈물,Noun,25
6749,컨디션,Noun,25
3853,소년,Noun,25
2194,러시아,#N/A,25
2606,모습,Noun,25
5638,작은,Adjective,25
3498,빨리,Adverb,25
