index,word,품사,n
4686,야구,Noun,374
3875,선수,Noun,256
3803,생각,Noun,192
7136,하고,Verb,172
7473,홈런,Noun,148
4550,안타,Noun,139
3668,사람,Noun,138
3311,보다,Verb,137
138,감독,Noun,135
5481,이었다,Verb,132
2231,때문,Noun,132
5661,있었다,Adjective,131
3871,선배,Noun,130
846,기록,Noun,129
6832,타자,Noun,128
3757,삼성,Noun,127
417,경기,Noun,123
3469,부터,Noun,119
1055,나를,Verb,119
5465,이승엽,Noun,114
5351,은퇴,Noun,112
720,그러나,Conjunction,109
6905,투수,Noun,108
7533,후배,Noun,103
4598,않았다,Verb,102
7213,하지,Verb,100
4875,없었다,Adjective,100
6630,최고,Noun,99
7077,프로,Noun,92
1116,나이,Noun,92
4863,없다,Adjective,91
7152,하나,Noun,90
6557,처럼,Noun,88
740,그렇게,Adverb,84
4995,였다,Verb,80
5729,자신,Noun,79
3954,세상,Noun,75
7189,하면,Verb,74
4719,양준혁,Noun,71
3380,볼넷,Noun,70
6808,타격,Noun,68
83,가장,Noun,67
218,같다,Adjective,65
6262,지금,Noun,65
2542,많이,Adverb,64
698,그때,Noun,64
5308,위해,Noun,64
2430,마음,Noun,63
4443,아니다,Adjective,62
877,기회,Noun,61
3772,상대,Noun,61
1943,됐다,Verb,61
6822,타석,Noun,61
2539,많은,Adjective,61
1337,노력,Noun,60
7329,해야,Verb,60
4445,아니라,Adjective,58
4978,열심히,Adverb,58
2127,들었다,Verb,54
6827,타율,Noun,54
7541,훈련,Noun,54
7138,하기,Verb,53
5507,이후,Noun,53
4202,시절,Noun,53
5533,인자,Noun,52
4200,시작,Noun,52
7298,해도,Noun,52
7395,했지만,Verb,51
3319,보면,Verb,50
1537,다른,Noun,49
4204,시즌,Noun,48
733,그런,Adjective,47
1050,나도,Verb,46
234,같은,Adjective,46
5523,인생,Noun,46
230,같았다,Adjective,46
4170,시간,Noun,45
6115,좋은,Adjective,45
2450,마흔,Noun,45
2741,모두,Noun,45
4238,신인,Noun,45
1548,다시,Noun,44
4465,아닌,Adjective,44
6035,조금,Noun,43
5609,입단,Noun,43
893,김성근,Noun,43
4084,순간,Noun,43
1193,내게,Verb,42
898,김응용,Noun,41
4567,않고,Verb,41
7363,해태,Noun,41
3940,성적,Noun,40
1992,되지,Verb,40
5981,정도,Noun,40
1924,동안,Noun,40
4722,얘기,Noun,40
5452,이상,Noun,40
7474,홈런왕,Noun,39
702,그래서,Adverb,39
5400,이나,Noun,39
4573,않는,Verb,39
1702,대구,Noun,38
615,구단,Noun,38
2442,마지막,Noun,38
4127,스윙,Noun,38
4048,수도,Noun,38
4862,없는,Adjective,38
5983,정말,Noun,37
5673,있을,Adjective,37
4618,않은,Verb,37
3121,방망이,Noun,37
6894,통산,Noun,36
1729,대신,Noun,36
6561,처음,Noun,36
4575,않는다,Verb,36
96,가지,Noun,36
2368,라운드,Noun,36
2519,만큼,Noun,35
5920,전력,Noun,35
5580,일이,Modifier,35
2415,마다,Noun,35
1969,되는,Verb,35
1997,된다,Verb,35
5498,이종범,Noun,34
5716,자리,Noun,34
7383,했던,Verb,34
6662,축구,Noun,34
436,계속,Noun,33
3288,보고,Noun,33
688,그것,Noun,33
5211,우승,Noun,33
701,그래도,Adverb,33
5387,이기,Noun,33
2525,많다,Adjective,32
7188,하며,Verb,32
7165,하다,Verb,32
4883,없이,Adverb,32
7231,한국,Noun,32
3685,사실,Noun,32
6812,타구,Noun,32
556,과정,Noun,32
3124,방법,Noun,32
4327,싶었다,Verb,32
4729,어느,Adverb,31
4689,야구선수,Noun,31
4501,아웃,Noun,31
7079,프로야구,Noun,31
1415,누구,Noun,31
2883,물론,Adverb,31
5033,예전,Noun,30
758,그리고,Conjunction,30
4580,않다,Verb,30
4488,아무리,Adverb,29
4056,수비,Noun,29
6189,준비,Noun,29
4767,어린,Verb,29
734,그런데,Conjunction,29
5725,자세,Noun,29
7367,했고,Verb,29
1676,당시,Noun,28
1781,덕분,Noun,28
427,경쟁,Noun,28
6640,최선,Noun,28
4125,스스로,Noun,28
3824,생활,Noun,28
189,강한,Adjective,28
4691,야구장,Noun,28
2228,때린,Verb,28
4457,아니었다,Adjective,28
262,개인,Noun,28
1552,다음,Noun,27
5497,이제,Noun,27
7285,항상,Noun,27
1717,대로,Noun,27
3310,보니,Verb,27
2338,뛰었다,Verb,27
7234,한다는,Modifier,27
5697,자기,Noun,27
1121,나중,Noun,27
5856,재능,Noun,27
7184,하루,Noun,27
1273,너무,Adverb,26
5413,이런,Adjective,26
2386,로부터,Noun,26
5492,이유,Noun,26
4186,시리즈,Noun,26
1243,내일,Noun,26
7392,했을,Verb,26
5198,우리,Noun,26
7191,하면서,Verb,26
2710,메이저리그,Noun,26
1763,대한,Noun,25
5761,작은,Adjective,25
5534,인정,Noun,25
7029,평가,Noun,25
7317,해서,Verb,25
735,그럴,Adjective,25
6309,지명,Noun,25
5294,위기,Noun,25
424,경우,Noun,25
5537,인지,Noun,24
3273,변화,Noun,24
3671,사랑,Noun,24
5050,오래,Adverb,24
3845,서른,Noun,24
3889,선택,Noun,24
5644,있다는,Adjective,24
1633,달리,Noun,23
7038,포기,Noun,23
2762,모습,Noun,23
2742,모든,Noun,23
5045,오늘,Noun,23
205,갖고,Verb,23
6390,질주,Noun,23
2219,때리는,Verb,23
746,그렇다고,Conjunction,23
2387,로서,Noun,23
4166,승부,Noun,23
3077,받았다,Verb,22
689,그게,Noun,22
7477,홍명보,#N/A,22
1723,대부분,Noun,22
2866,문제,Noun,22
6779,코치,Noun,22
4905,여러,Noun,22
5645,있다면,Adjective,22
16,가끔,Noun,22
5962,젊은,Adjective,22
4742,어떻게,Adjective,22
777,그저,Adverb,22
5561,일본,Noun,22
3359,보통,Noun,22
7270,함께,Adverb,22
4248,실력,Noun,22
7604,희생,Noun,22
4727,어깨,Noun,21
4943,연봉,Noun,21
1111,나와,Verb,21
2305,뛰는,Verb,21
4157,슬럼프,Noun,21
5415,이렇게,Adverb,21
7084,플레이,Noun,21
4738,어떤,Adjective,21
5359,의미,Noun,21
7406,행운,Noun,21
1274,너무나,Adverb,21
7377,했다고,Verb,21
4620,않을,Verb,21
397,결국,Adverb,21
5643,있다고,Adjective,20
538,공부,Noun,20
6740,친구,Noun,20
783,그해,Adverb,20
7551,훨씬,Adverb,20
7233,한다고,Verb,20
752,그렇지,Adjective,20
842,기도,Noun,20
7123,하게,Verb,20
4315,싶다,Verb,20
2756,모른다,Verb,20
1331,녀석,Noun,19
1682,당장,Noun,19
2443,마찬가지,Noun,19
692,그냥,Noun,19
7211,하자,Noun,19
4770,어머니,Noun,19
4163,승리,Noun,19
5948,절대,Noun,19
1823,도루,Noun,19
4043,송진우,#N/A,18
3035,반대,Noun,18
863,기억,Noun,18
282,거리,Noun,18
2677,먼저,Noun,18
7455,형편,Noun,18
2787,목표,Noun,18
4268,실패,Noun,18
5744,자주,Noun,18
5391,이길,Verb,18
4839,얼마나,Noun,18
3083,받을,Verb,17
1778,더욱,Noun,17
4321,싶어,Verb,17
5664,있었던,Adjective,17
5318,유니폼,Noun,17
7035,평생,Noun,17
5628,있고,Adjective,17
292,거의,Noun,17
475,고민,Noun,17
7490,확률,Noun,17
2639,매일,Noun,17
6070,종목,#N/A,17
6686,충분히,Adjective,17
7109,필요,Noun,17
2319,뛰어난,Adjective,17
2300,뛰고,Verb,17
5189,욕심,Noun,17
363,게다가,Noun,17
396,결과,Noun,16
4492,아버지,Noun,16
7219,학교,Noun,16
7223,학생,Noun,16
4486,아무,Noun,16
307,걱정,Noun,16
4334,싶은,Verb,16
1767,대회,Noun,16
1814,데뷔,Noun,16
4654,알았다,Verb,16
7468,혼자,#N/A,16
2445,마치,Noun,16
1790,던지는,Verb,16
2375,래야,Noun,16
3986,소리,Noun,16
3787,상황,Noun,16
3291,보기,Noun,16
4109,쉽게,Verb,16
5441,이미,Adverb,16
855,기사,Noun,15
6388,질문,Noun,15
745,그렇다,Adjective,15
5190,용기,Noun,15
2369,라이벌,#N/A,15
1980,되면,Verb,15
5123,올스타전,Noun,15
6080,좋겠다,Adjective,15
2535,많았다,Adjective,15
6015,제대로,Noun,15
5185,요즘,Noun,15
2822,무대,Noun,15
6449,차례,Noun,15
3619,빨리,Adverb,15
7318,해서는,Verb,15
4838,얼마,Noun,15
5436,이름,Noun,15
3356,보지,Noun,15
3278,별명,Noun,15
7235,한다면,Verb,15
5671,있으면,Adjective,15
102,가치,Noun,15
3094,발전,Noun,15
686,그건,Adverb,15
687,그걸,Adverb,15
5370,이겨,#N/A,15
5356,응원,Noun,15
3745,살이,Noun,15
1916,동료,Noun,15
6835,타점,Noun,15
7004,편이,Noun,15
1839,도전,Noun,15
6787,크게,Noun,15
5086,오히려,Noun,15
4182,시도,Noun,15
7444,현실,Noun,15
1716,대답,Noun,15
4932,역할,Noun,15
1253,냈다,Verb,15
7479,홍성흔,Noun,15
1458,느낌,Noun,15
4928,역전,Noun,15
4099,숫자,Noun,15
706,그랬다,Adjective,14
4926,역시,Noun,14
2365,라면,Noun,14
2398,류현진,#N/A,14
5005,영남대,Noun,14
406,결코,Noun,14
4126,스승,Noun,14
23,가는,Verb,14
5906,적은,Verb,14
3258,벤치,Noun,14
5231,운동,Noun,14
6154,주위,Noun,14
4614,않으면,Verb,14
6809,타격왕,Noun,14
691,그날,Noun,14
498,고통,Noun,14
1961,되고,Verb,14
4833,얻을,Verb,14
3082,받은,Verb,14
7216,하지만,Conjunction,14
3479,분위기,Noun,14
6379,진짜,Noun,14
5857,재단,Noun,13
4258,실수,Noun,13
7220,학년,Noun,13
5904,적어도,Adverb,13
3085,받지,Verb,13
5109,올랐다,Verb,13
6899,통해,Noun,13
2767,모양,Noun,13
1544,다섯,Noun,13
405,결정,Noun,13
5405,이대호,Noun,13
407,결혼,#N/A,13
5064,오른,Noun,13
3708,사회,Noun,13
1240,내야안타,Noun,13
2331,뛰어야,Verb,13
1835,도움,Noun,13
2061,득점,Noun,13
